Time,CO2,Temperature,Humidity
07:53:27,1080.0,26.26,69.80
08:00:01,677.0,24.49,79.18
08:15:01,522.0,24.48,77.00
08:30:01,508.0,24.48,76.41
08:45:01,502.0,24.57,75.87
09:00:10,492.0,24.49,75.95
09:15:01,513.0,24.49,75.89
09:30:04,509.0,24.46,75.76
09:45:01,500.0,24.59,75.70
09:57:14,575.0,27.89,61.40
10:00:07,512.0,24.79,74.59
10:15:01,484.0,24.54,75.50
10:30:01,475.0,24.61,75.59
10:45:01,472.0,24.53,75.51
11:00:01,474.0,24.54,75.28
11:15:01,476.0,24.63,75.37
11:30:01,504.0,24.89,75.34
11:45:01,495.0,25.19,74.49
12:00:11,539.0,25.44,73.59
12:15:01,517.0,25.68,72.74
12:30:14,489.0,25.77,72.41
12:45:02,485.0,25.76,72.10
13:00:17,486.0,25.94,71.93
13:15:07,493.0,25.99,71.50
13:30:09,485.0,26.08,71.32
13:45:01,504.0,26.29,71.05
14:00:01,483.0,26.35,70.38
14:15:01,492.0,26.46,70.42
14:30:09,496.0,26.58,70.20
14:45:01,485.0,26.70,69.85
15:00:10,490.0,26.72,69.73
15:15:01,489.0,26.81,69.60
15:30:01,491.0,26.88,69.82
15:45:01,485.0,26.91,69.55
16:00:01,490.0,26.89,69.64
16:15:07,485.0,26.93,69.55
16:30:03,520.0,27.01,69.82
16:45:01,487.0,27.03,69.36
17:00:01,477.0,26.89,69.54
17:15:01,482.0,26.86,69.91
17:30:01,486.0,26.83,70.01
17:45:02,486.0,26.70,70.42
18:00:06,486.0,26.69,70.50
18:15:06,490.0,26.67,70.77
18:30:13,485.0,26.47,71.07
18:45:01,487.0,26.42,71.53
20:54:53,611.0,30.86,57.91
21:03:19,641.0,30.85,58.08
21:03:25,646.0,30.45,59.19
21:03:32,650.0,30.19,60.10
21:03:43,652.0,29.94,60.97
21:15:32,663.0,30.94,58.24
21:18:11,661.0,30.92,58.25
21:20:50,675.0,30.91,58.23
21:30:53,693.0,30.98,58.43
22:03:51,758.0,30.96,58.63
22:15:02,815.0,26.96,73.75
